views	n_tweets	n_tweeted
1315	8	1043138
1316	10	1043148
1317	7	1043155
1318	8	1043163
1319	8	1043171
1320	6	1043177
1321	5	1043182
1322	7	1043189
1323	8	1043197
1324	13	1043210
1325	2	1043212
1326	6	1043218
1327	14	1043232
1328	9	1043241
1329	17	1043258
1330	7	1043265
1331	6	1043271
1332	6	1043277
1333	8	1043285
1334	11	1043296
1335	6	1043302
1336	8	1043310
1337	13	1043323
1338	7	1043330
1339	7	1043337
1340	5	1043342
1341	7	1043349
1342	14	1043363
1343	4	1043367
1344	8	1043375
1345	8	1043383
1346	11	1043394
1347	6	1043400
1348	10	1043410
1349	10	1043420
1350	7	1043427
1351	4	1043431
1352	4	1043435
1353	7	1043442
1354	4	1043446
1355	5	1043451
1356	7	1043458
1357	15	1043473
1358	8	1043481
1359	2	1043483
1360	6	1043489
1361	7	1043496
1362	8	1043504
1363	11	1043515
1364	8	1043523
1365	7	1043530
1366	6	1043536
1367	7	1043543
1368	6	1043549
1369	6	1043555
1370	10	1043565
1371	3	1043568
1372	8	1043576
1373	7	1043583
1374	4	1043587
1375	6	1043593
1376	11	1043604
1377	5	1043609
1378	7	1043616
1379	10	1043626
1380	11	1043637
1381	11	1043648
1382	11	1043659
1383	10	1043669
1384	9	1043678
1385	13	1043691
1386	7	1043698
1387	9	1043707
1388	10	1043717
1389	7	1043724
1390	17	1043741
1391	8	1043749
1392	5	1043754
1393	11	1043765
1394	13	1043778
1395	3	1043781
1396	8	1043789
1397	9	1043798
1398	7	1043805
1399	11	1043816
1400	5	1043821
1401	10	1043831
1402	11	1043842
1403	10	1043852
1404	9	1043861
1405	8	1043869
1406	7	1043876
1407	5	1043881
1408	10	1043891
1409	8	1043899
1410	6	1043905
1411	11	1043916
1412	7	1043923
1413	6	1043929
1414	11	1043940
1415	4	1043944
1416	9	1043953
1417	7	1043960
1418	6	1043966
1419	5	1043971
1420	10	1043981
1421	10	1043991
1422	9	1044000
1423	9	1044009
1424	8	1044017
1425	7	1044024
1426	2	1044026
1427	12	1044038
1428	4	1044042
1429	4	1044046
1430	9	1044055
1431	4	1044059
1432	11	1044070
1433	8	1044078
1434	4	1044082
1435	7	1044089
1436	8	1044097
1437	15	1044112
1438	11	1044123
1439	6	1044129
1440	8	1044137
1441	9	1044146
1442	9	1044155
1443	6	1044161
1444	3	1044164
1445	6	1044170
1446	7	1044177
1447	8	1044185
1448	5	1044190
1449	6	1044196
1450	3	1044199
1451	4	1044203
1452	7	1044210
1453	4	1044214
1454	9	1044223
1455	6	1044229
1456	6	1044235
1457	5	1044240
1458	7	1044247
1459	8	1044255
1460	9	1044264
1461	9	1044273
1462	8	1044281
1463	6	1044287
1464	8	1044295
1465	6	1044301
1466	7	1044308
1467	5	1044313
1468	6	1044319
1469	7	1044326
1470	7	1044333
1471	11	1044344
1472	9	1044353
1473	12	1044365
1474	4	1044369
1475	9	1044378
1476	9	1044387
1477	6	1044393
1478	7	1044400
1479	4	1044404
1480	10	1044414
1481	11	1044425
1482	6	1044431
1483	7	1044438
1484	6	1044444
1485	3	1044447
1486	4	1044451
1487	3	1044454
1488	5	1044459
1489	9	1044468
1490	8	1044476
1491	7	1044483
1492	6	1044489
1493	6	1044495
1494	5	1044500
1495	5	1044505
1496	6	1044511
1497	7	1044518
1498	10	1044528
1499	6	1044534
1500	9	1044543
1501	4	1044547
1502	11	1044558
1503	11	1044569
1504	6	1044575
1505	9	1044584
1506	5	1044589
1507	6	1044595
1508	4	1044599
1509	5	1044604
1510	9	1044613
1511	8	1044621
1512	5	1044626
1513	8	1044634
1514	7	1044641
1515	2	1044643
1516	11	1044654
1517	11	1044665
1518	8	1044673
1519	15	1044688
1520	11	1044699
1521	10	1044709
1522	8	1044717
1523	6	1044723
1524	9	1044732
1525	5	1044737
1526	3	1044740
1527	8	1044748
1528	8	1044756
1529	5	1044761
1530	9	1044770
1531	8	1044778
1532	7	1044785
1533	6	1044791
1534	7	1044798
1535	8	1044806
1536	7	1044813
1537	6	1044819
1538	9	1044828
1539	8	1044836
1540	4	1044840
1541	6	1044846
1542	8	1044854
1543	11	1044865
1544	6	1044871
1545	4	1044875
1546	5	1044880
1547	4	1044884
1548	5	1044889
1549	5	1044894
1550	6	1044900
1551	3	1044903
1552	9	1044912
1553	8	1044920
1554	7	1044927
1555	7	1044934
1556	1	1044935
1557	5	1044940
1558	7	1044947
1559	7	1044954
1560	7	1044961
1561	11	1044972
1562	6	1044978
1563	8	1044986
1564	7	1044993
1565	1	1044994
1566	6	1045000
1567	5	1045005
1568	5	1045010
1569	7	1045017
1570	5	1045022
1571	8	1045030
1572	4	1045034
1573	5	1045039
1574	5	1045044
1575	5	1045049
1576	2	1045051
1577	7	1045058
1578	7	1045065
1579	5	1045070
1580	7	1045077
1581	6	1045083
1582	9	1045092
1583	7	1045099
1584	6	1045105
1585	9	1045114
1586	7	1045121
1587	6	1045127
1588	9	1045136
1589	5	1045141
1590	5	1045146
1591	5	1045151
1592	4	1045155
1593	5	1045160
1594	9	1045169
1595	3	1045172
1596	6	1045178
1597	8	1045186
1598	5	1045191
1599	5	1045196
1600	7	1045203
1601	8	1045211
1602	1	1045212
1603	5	1045217
1604	7	1045224
1605	4	1045228
1606	7	1045235
1607	4	1045239
1608	7	1045246
1609	4	1045250
1610	3	1045253
1611	6	1045259
